,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,1.3,0.6403124237432849,0.202,0.79184,-0.3969,0.3969,1.301,0.204,0.8,-0.3,0.5
1,10,1.1146264369941972,0.24001647017157146,0.076,0.29791999999999996,-0.1488,0.1488,1.114,0.076,0.27,-0.11,0.16
2,10,1.2,0.4,0.126,0.49391999999999997,-0.2479,0.2479,1.199,0.126,0.5,-0.2,0.3
3,10,1.5,0.6708203932499369,0.212,0.83104,-0.4158,0.4158,1.503,0.214,0.8,-0.4,0.4
4,10,1.2,0.6000000000000001,0.19,0.7448,-0.3719,0.3719,1.2,0.189,0.6,-0.2,0.4
5,10,1.4,0.66332495807108,0.21,0.8231999999999999,-0.4111,0.4111,1.401,0.208,0.8,-0.4,0.4
6,10,1.2146264369941973,0.35310426017648305,0.112,0.43904,-0.2189,0.2189,1.215,0.112,0.46,-0.22,0.24
7,10,1.5,0.6708203932499369,0.212,0.83104,-0.4158,0.4158,1.499,0.213,0.8,-0.4,0.4
8,10,1.3,0.6403124237432849,0.202,0.79184,-0.3969,0.3969,1.299,0.203,0.8,-0.3,0.5
9,10,1.1732050807568877,0.35155346461985626,0.111,0.43512,-0.2179,0.2179,1.173,0.111,0.42,-0.17,0.25
10,10,1.1732050807568877,0.35155346461985626,0.111,0.43512,-0.2179,0.2179,1.173,0.11,0.42,-0.17,0.25
11,10,1.2414213562373095,0.5990601107384125,0.189,0.74088,-0.3713,0.3713,1.237,0.187,0.64,-0.24,0.4
12,10,1.4414213562373095,0.6498495778124314,0.206,0.8075199999999999,-0.4028,0.4028,1.44,0.207,0.8,-0.34,0.46
13,10,1.4,0.66332495807108,0.21,0.8231999999999999,-0.4111,0.4111,1.402,0.211,0.9,-0.4,0.5
14,10,1.1828427124746193,0.31762102818561266,0.1,0.392,-0.1969,0.1969,1.184,0.1,0.4,-0.18,0.22
15,10,1.3,0.45825756949558405,0.145,0.5683999999999999,-0.284,0.284,1.299,0.146,0.6,-0.3,0.3
16,10,1.1414213562373097,0.3117006376724003,0.099,0.38808000000000004,-0.1932,0.1932,1.14,0.098,0.34,-0.14,0.2
17,10,1.1,0.3,0.095,0.3724,-0.1859,0.1859,1.1,0.095,0.3,-0.1,0.2
18,10,1.282842712474619,0.5952432906390143,0.188,0.73696,-0.3689,0.3689,1.283,0.187,0.68,-0.28,0.4
19,10,1.1,0.3,0.095,0.3724,-0.1859,0.1859,1.099,0.093,0.3,-0.1,0.2
20,10,1.4,0.66332495807108,0.21,0.8231999999999999,-0.4111,0.4111,1.403,0.209,0.9,-0.4,0.5
