,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
328,50,7.4963480282642445,10.440534767871748,1.477,5.78984,-2.894,2.894,7.491,1.488,5.73,-2.55,3.18
329,50,6.928524188652161,7.136914779318997,1.009,3.9552799999999997,-1.9783,1.9783,6.93,1.003,3.9,-1.76,2.14
330,50,7.960081226049244,10.645990178217259,1.506,5.90352,-2.9509,2.9509,7.985,1.51,5.86,-2.59,3.27
331,50,7.503693256670678,8.377027367138952,1.185,4.6452,-2.322,2.322,7.481,1.172,4.53,-2.02,2.52
332,50,6.019601742014763,7.19891622867865,1.018,3.99056,-1.9954,1.9954,6.033,1.032,4.0,-1.69,2.31
333,50,6.618580411022087,8.220364550482826,1.163,4.55896,-2.2786,2.2786,6.621,1.164,4.52,-2.03,2.49
334,50,7.49276175347243,8.201129270149373,1.16,4.547199999999999,-2.2732,2.2732,7.49,1.158,4.55,-2.1,2.45
335,50,8.086871050087172,7.870356829220772,1.113,4.36296,-2.1816,2.1816,8.087,1.106,4.3,-1.98,2.33
336,50,6.424503214290951,8.150199902429712,1.153,4.51976,-2.2591,2.2591,6.429,1.152,4.34,-1.76,2.58
337,50,8.06913358918634,11.90080178474815,1.683,6.59736,-3.2987,3.2987,8.068,1.681,6.48,-2.9,3.58
338,50,9.302927150326175,13.463118005711905,1.904,7.463679999999999,-3.7318,3.7318,9.299,1.908,7.39,-3.18,4.21
339,50,7.422598560232609,9.013602532485711,1.275,4.997999999999999,-2.4984,2.4984,7.407,1.271,4.94,-2.18,2.76
340,50,10.686005239193124,16.22434257613963,2.294,8.99248,-4.4972,4.4972,10.675,2.297,8.98,-4.1,4.89
341,50,8.011295944160558,12.803090927392356,1.811,7.099119999999999,-3.5488,3.5488,8.016,1.818,7.03,-2.9,4.13
342,50,9.924326260441449,14.139580908793313,2.0,7.84,-3.9193,3.9193,9.899,2.012,7.8,-3.35,4.45
343,50,9.61050684027221,15.861215535799298,2.243,8.79256,-4.3965,4.3965,9.621,2.252,8.8,-3.9,4.9
344,50,6.025269170216815,5.317530575975539,0.752,2.94784,-1.4739,1.4739,6.034,0.748,2.93,-1.35,1.58
345,50,5.384621247853538,4.63312572861607,0.655,2.5676,-1.2842,1.2842,5.39,0.656,2.57,-1.16,1.41
346,50,7.121010955253272,9.635932906323236,1.363,5.34296,-2.6709,2.6709,7.122,1.359,5.31,-2.34,2.97
347,50,5.811599021004347,5.867309163412245,0.83,3.2535999999999996,-1.6263,1.6263,5.819,0.822,3.2,-1.46,1.74
348,50,10.029417161652049,16.600927425826526,2.348,9.20416,-4.6015,4.6015,10.034,2.343,9.08,-3.92,5.16
349,50,6.998685162847625,8.430801029044423,1.192,4.6726399999999995,-2.3369,2.3369,7.011,1.205,4.69,-1.94,2.75
350,50,5.201895258519949,7.135845130003011,1.009,3.9552799999999997,-1.978,1.978,5.191,1.003,3.86,-1.61,2.25
351,50,7.31496964561037,8.712704464389855,1.232,4.82944,-2.415,2.415,7.31,1.242,4.85,-2.19,2.66
352,50,5.604480577938557,6.037366764700443,0.854,3.34768,-1.6735,1.6735,5.608,0.851,3.32,-1.45,1.86
353,50,8.121068211561353,10.190596209406381,1.441,5.64872,-2.8247,2.8247,8.108,1.434,5.63,-2.52,3.1
354,50,9.90071689670963,14.218150545384177,2.011,7.88312,-3.9411,3.9411,9.889,2.015,7.84,-3.43,4.4
355,50,5.771243867972739,6.289097249716135,0.889,3.48488,-1.7432,1.7432,5.765,0.886,3.4,-1.46,1.95
356,50,10.080175958407013,12.541533105946552,1.774,6.95408,-3.4763,3.4763,10.076,1.764,6.9,-3.17,3.73
357,50,7.940111578362246,9.565282438232435,1.353,5.30376,-2.6514,2.6514,7.941,1.341,5.27,-2.41,2.86
358,50,7.159388449218749,7.2555604217174805,1.026,4.02192,-2.0111,2.0111,7.176,1.03,4.03,-1.82,2.2
359,50,9.439056147229998,14.706604606415432,2.08,8.1536,-4.0765,4.0765,9.424,2.047,8.01,-3.51,4.49
360,50,6.266374741513872,5.945800837474875,0.841,3.2967199999999997,-1.6481,1.6481,6.253,0.836,3.24,-1.51,1.73
361,50,7.762651064545016,8.767054719238276,1.24,4.8608,-2.4301,2.4301,7.764,1.247,4.81,-2.22,2.59
362,50,7.97529864598192,9.281950845991316,1.313,5.14696,-2.5728,2.5728,7.954,1.314,5.11,-2.28,2.84
363,50,8.259911019058078,11.693325872361672,1.654,6.48368,-3.2412,3.2412,8.241,1.641,6.39,-2.88,3.51
364,50,7.212004794926174,8.528011892461329,1.206,4.72752,-2.3638,2.3638,7.222,1.21,4.69,-2.17,2.52
365,50,7.518502035657683,9.100116875063268,1.287,5.045039999999999,-2.5224,2.5224,7.526,1.301,5.03,-2.24,2.79
366,50,10.198059505452635,18.353189976765545,2.596,10.17632,-5.0872,5.0872,10.186,2.614,10.19,-4.49,5.7
367,50,8.85365437817475,14.587419379445667,2.063,8.086960000000001,-4.0434,4.0434,8.851,2.041,7.98,-3.48,4.5
368,50,8.179325879949328,9.549797283167383,1.351,5.29592,-2.6471,2.6471,8.199,1.342,5.25,-2.42,2.83
369,50,7.257730015320134,9.095347988104752,1.286,5.04112,-2.5211,2.5211,7.255,1.265,4.9,-2.21,2.68
370,50,6.1817710174475335,6.12745518856284,0.867,3.39864,-1.6984,1.6984,6.174,0.868,3.4,-1.55,1.84
371,50,8.414265693035814,12.850686084680481,1.817,7.12264,-3.562,3.562,8.43,1.813,6.93,-2.83,4.1
372,50,5.410220723079257,6.435022278715417,0.91,3.5672,-1.7837,1.7837,5.422,0.921,3.56,-1.51,2.05
373,50,9.225192936637962,13.751211411428633,1.945,7.6244000000000005,-3.8116,3.8116,9.221,1.95,7.44,-3.19,4.25
374,50,5.041208668095724,6.1940467518994815,0.876,3.43392,-1.7169,1.7169,5.06,0.876,3.31,-1.39,1.92
375,50,7.161213094389692,8.169273346922699,1.155,4.5276,-2.2644,2.2644,7.166,1.16,4.54,-2.05,2.5
376,50,8.41039381420907,9.65014382742111,1.365,5.3508,-2.6749,2.6749,8.438,1.364,5.31,-2.48,2.83
377,50,7.169105591210223,6.125677515351125,0.866,3.39472,-1.698,1.698,7.161,0.871,3.4,-1.6,1.81
378,50,7.879381324074237,12.822454911202852,1.813,7.10696,-3.5542,3.5542,7.917,1.802,7.04,-3.23,3.81
379,50,6.8751514691754405,9.207186990383915,1.302,5.10384,-2.5521,2.5521,6.885,1.304,5.11,-2.26,2.86
380,50,6.00472133506249,8.404958161005048,1.189,4.660880000000001,-2.3297,2.3297,6.004,1.185,4.56,-1.98,2.59
381,50,6.3231623452743575,4.818466348881611,0.681,2.6695200000000003,-1.3356,1.3356,6.324,0.684,2.65,-1.27,1.39
382,50,7.604665688039504,10.082115838114273,1.426,5.589919999999999,-2.7946,2.7946,7.619,1.438,5.56,-2.48,3.08
383,50,6.323892646104673,8.131935919603846,1.15,4.508,-2.2541,2.2541,6.299,1.141,4.38,-1.9,2.48
384,50,6.244949570493766,11.767778246635588,1.664,6.52288,-3.2619,3.2619,6.246,1.667,6.06,-2.29,3.77
385,50,6.081521804727592,7.5812329167901735,1.072,4.20224,-2.1014,2.1014,6.076,1.067,4.11,-1.81,2.3
386,50,6.523310635718087,6.420780197914214,0.908,3.55936,-1.7797,1.7797,6.52,0.908,3.56,-1.62,1.94
387,50,6.963681507438828,9.99135325483763,1.413,5.53896,-2.7695,2.7695,6.972,1.416,5.46,-2.34,3.12
388,50,9.891884931187793,14.606526366940907,2.066,8.098719999999998,-4.0487,4.0487,9.88,2.053,7.96,-3.5,4.46
389,50,7.581582230182232,12.752239445955562,1.803,7.06776,-3.5347,3.5347,7.582,1.798,6.77,-2.73,4.04
390,50,8.454949997002943,15.030429819142897,2.126,8.333919999999999,-4.1662,4.1662,8.465,2.127,8.28,-3.61,4.67
391,50,8.45026258278266,11.541796319551969,1.632,6.39744,-3.1992,3.1992,8.465,1.632,6.35,-2.92,3.43
392,50,7.038767663175885,6.531136944195054,0.924,3.62208,-1.8103,1.8103,7.045,0.928,3.6,-1.66,1.94
393,50,8.392082902857368,13.701567229757663,1.938,7.596959999999999,-3.7979,3.7979,8.395,1.941,7.45,-3.16,4.29
394,50,8.949003113212841,10.0516338612042,1.422,5.57424,-2.7862,2.7862,8.945,1.416,5.52,-2.54,2.98
395,50,5.506755462802435,3.74908579161581,0.53,2.0776,-1.0392,1.0392,5.503,0.53,2.07,-0.99,1.08
396,50,7.5003591171692605,12.360607311677525,1.748,6.85216,-3.4262,3.4262,7.522,1.76,6.77,-2.66,4.11
397,50,7.687070446499214,8.311976176010033,1.175,4.606,-2.304,2.304,7.677,1.179,4.58,-2.17,2.41
398,50,9.530404356275783,10.559895492185497,1.493,5.85256,-2.9271,2.9271,9.53,1.492,5.81,-2.69,3.12
399,50,8.813762752305829,11.417424672230878,1.615,6.3308,-3.1647,3.1647,8.821,1.599,6.28,-2.82,3.46
400,100,7.693929786476826,11.1033078152758,1.11,4.3512,-2.1762,2.1762,7.69,1.107,4.36,-1.92,2.43
401,100,7.504441936559852,9.043967670265182,0.904,3.54368,-1.7726,1.7726,7.51,0.908,3.53,-1.61,1.92
402,100,7.585706705176442,10.580976031682576,1.058,4.14736,-2.0739,2.0739,7.58,1.047,4.07,-1.8,2.27
403,100,8.783486607764498,11.770741820769908,1.177,4.61384,-2.3071,2.3071,8.786,1.18,4.6,-2.09,2.52
404,100,6.346282316218918,6.442414202986877,0.644,2.52448,-1.2627,1.2627,6.345,0.642,2.49,-1.15,1.34
405,100,7.214691375332422,8.43494092206365,0.843,3.30456,-1.6532,1.6532,7.209,0.845,3.31,-1.52,1.79
406,100,6.654781435637483,7.4171344900773315,0.742,2.90864,-1.4538,1.4538,6.641,0.74,2.88,-1.34,1.54
407,100,6.546006849443699,7.5676809081142,0.757,2.96744,-1.4833,1.4833,6.548,0.761,2.98,-1.38,1.6
408,100,8.538490400338121,13.630633942826496,1.363,5.34296,-2.6716,2.6716,8.518,1.362,5.29,-2.37,2.92
409,100,8.106997773819145,10.786871052130522,1.079,4.22968,-2.1142,2.1142,8.106,1.088,4.26,-1.95,2.3
410,100,7.761624946213185,11.25287421925266,1.125,4.41,-2.2056,2.2056,7.753,1.12,4.37,-1.96,2.42
411,100,8.965044158432567,13.572692556650432,1.357,5.31944,-2.6602,2.6602,8.978,1.357,5.28,-2.39,2.89
412,100,7.534406705242402,9.30766971910791,0.931,3.6495200000000003,-1.8243,1.8243,7.527,0.931,3.65,-1.7,1.94
413,100,8.709230304907368,11.098166852957434,1.11,4.3512,-2.1752,2.1752,8.695,1.11,4.33,-2.04,2.28
414,100,6.937445500466711,10.13320531362383,1.013,3.9709599999999994,-1.9861,1.9861,6.937,1.016,3.93,-1.7,2.23
415,100,7.287437095366722,10.557142633358376,1.056,4.13952,-2.0692,2.0692,7.295,1.06,4.14,-1.8,2.34
416,100,8.561963831999046,10.834333174660093,1.083,4.24536,-2.1235,2.1235,8.552,1.085,4.25,-2.0,2.25
417,100,6.417300662885278,7.104804867280466,0.71,2.7832,-1.3925,1.3925,6.426,0.708,2.76,-1.22,1.54
418,100,8.518450271010572,12.367134064944876,1.237,4.8490400000000005,-2.424,2.424,8.514,1.231,4.78,-2.16,2.62
419,100,7.315854555264657,8.657844542737722,0.866,3.39472,-1.6969,1.6969,7.325,0.861,3.37,-1.57,1.81
420,100,6.87015944267327,10.230880178765037,1.023,4.01016,-2.0053,2.0053,6.882,1.025,3.97,-1.71,2.26
421,100,7.945743296297797,11.3769575664735,1.138,4.460959999999999,-2.2299,2.2299,7.951,1.138,4.46,-1.97,2.49
422,100,6.245431278017321,5.275849519419874,0.528,2.06976,-1.0341,1.0341,6.246,0.528,2.06,-0.98,1.08
423,100,8.450533679598266,10.410018277120141,1.041,4.0807199999999995,-2.0404,2.0404,8.463,1.038,4.05,-1.91,2.13
424,100,8.126218295053052,10.185017242064202,1.019,3.9944799999999994,-1.9963,1.9963,8.119,1.024,4.01,-1.86,2.15
425,100,7.784257803413694,12.01770903500301,1.202,4.71184,-2.3555,2.3555,7.767,1.209,4.69,-2.14,2.54
426,100,8.854190085740681,13.79069678897957,1.379,5.40568,-2.703,2.703,8.861,1.389,5.4,-2.43,2.97
427,100,6.774245895282315,8.188381558662904,0.819,3.2104799999999996,-1.6049,1.6049,6.768,0.817,3.21,-1.46,1.75
428,100,7.05318189857916,8.742003494940693,0.874,3.42608,-1.7134,1.7134,7.052,0.867,3.42,-1.57,1.85
429,100,8.859079198258948,13.727953808160036,1.373,5.38216,-2.6907,2.6907,8.836,1.36,5.26,-2.38,2.88
430,100,6.532159775930556,6.68213204461831,0.668,2.61856,-1.3097,1.3097,6.524,0.668,2.6,-1.17,1.44
431,100,7.294747373506559,10.904433078189767,1.09,4.2728,-2.1373,2.1373,7.304,1.084,4.2,-1.86,2.33
432,100,9.326477321109454,12.99564622397944,1.3,5.096,-2.5471,2.5471,9.336,1.304,5.03,-2.31,2.71
