,id,metric
168,BRATS_221.nii.gz,68.52
169,BRATS_413.nii.gz,78.23
170,BRATS_342.nii.gz,62.63
171,BRATS_242.nii.gz,78.33
172,BRATS_188.nii.gz,71.92
173,BRATS_088.nii.gz,91.23
174,BRATS_317.nii.gz,82.67
175,BRATS_446.nii.gz,95.25
176,BRATS_217.nii.gz,93.11
177,BRATS_374.nii.gz,84.05
178,BRATS_425.nii.gz,66.87
179,BRATS_274.nii.gz,83.64
180,BRATS_309.nii.gz,93.76
181,BRATS_458.nii.gz,84.48
182,BRATS_209.nii.gz,83.83
183,BRATS_278.nii.gz,80.77
184,BRATS_429.nii.gz,85.32
185,BRATS_378.nii.gz,87.1
186,BRATS_205.nii.gz,91.2
187,BRATS_454.nii.gz,79.79
188,BRATS_305.nii.gz,88.57
189,BRATS_266.nii.gz,85.89
190,BRATS_437.nii.gz,88.46
191,BRATS_366.nii.gz,62.49
192,BRATS_006.nii.gz,77.4
193,BRATS_106.nii.gz,75.69
194,BRATS_065.nii.gz,85.52
195,BRATS_483.nii.gz,79.03
196,BRATS_165.nii.gz,93.62
197,BRATS_018.nii.gz,70.2
198,BRATS_118.nii.gz,87.21
199,BRATS_169.nii.gz,65.33
200,BRATS_069.nii.gz,80.99
201,BRATS_114.nii.gz,73.75
202,BRATS_014.nii.gz,85.27
203,BRATS_177.nii.gz,65.35
204,BRATS_077.nii.gz,49.83
205,BRATS_122.nii.gz,89.3
206,BRATS_395.nii.gz,79.54
207,BRATS_022.nii.gz,75.74
208,BRATS_295.nii.gz,86.03
209,BRATS_141.nii.gz,91.24
210,BRATS_041.nii.gz,85.38
211,BRATS_287.nii.gz,64.85
212,BRATS_030.nii.gz,60.72
213,BRATS_387.nii.gz,74.53
214,BRATS_130.nii.gz,88.43
215,BRATS_053.nii.gz,82.33
216,BRATS_153.nii.gz,91.31
217,BRATS_299.nii.gz,50.42
218,BRATS_399.nii.gz,80.1
219,BRATS_201.nii.gz,85.54
220,BRATS_301.nii.gz,86.04
221,BRATS_450.nii.gz,79.88
222,BRATS_262.nii.gz,87.82
223,BRATS_362.nii.gz,84.05
224,BRATS_433.nii.gz,80.01
225,BRATS_442.nii.gz,88.11
226,BRATS_313.nii.gz,76.33
227,BRATS_213.nii.gz,85.04
228,BRATS_421.nii.gz,92.6
229,BRATS_370.nii.gz,85.96
230,BRATS_270.nii.gz,66.9
231,BRATS_192.nii.gz,84.21
232,BRATS_325.nii.gz,84.92
233,BRATS_474.nii.gz,88.64
234,BRATS_092.nii.gz,61.97
235,BRATS_225.nii.gz,77.64
236,BRATS_358.nii.gz,55.39
237,BRATS_409.nii.gz,91.37
238,BRATS_258.nii.gz,88.84
239,BRATS_346.nii.gz,84.26
240,BRATS_417.nii.gz,88.78
241,BRATS_246.nii.gz,69.23
242,BRATS_237.nii.gz,88.41
243,BRATS_080.nii.gz,79.79
244,BRATS_466.nii.gz,85.37
245,BRATS_337.nii.gz,78.89
246,BRATS_180.nii.gz,80.86
247,BRATS_229.nii.gz,76.18
248,BRATS_478.nii.gz,80.34
249,BRATS_329.nii.gz,76.26
250,BRATS_254.nii.gz,67.85
251,BRATS_405.nii.gz,89.26
252,BRATS_354.nii.gz,86.67
253,BRATS_283.nii.gz,77.4
254,BRATS_034.nii.gz,79.91
255,BRATS_383.nii.gz,65.36
256,BRATS_134.nii.gz,77.9
257,BRATS_049.nii.gz,68.19
258,BRATS_149.nii.gz,87.39
259,BRATS_057.nii.gz,90.08
260,BRATS_157.nii.gz,86.78
261,BRATS_126.nii.gz,82.96
262,BRATS_391.nii.gz,86.9
263,BRATS_026.nii.gz,69.1
264,BRATS_291.nii.gz,93.3
265,BRATS_138.nii.gz,78.98
266,BRATS_038.nii.gz,79.5
267,BRATS_145.nii.gz,79.43
268,BRATS_045.nii.gz,83.47
269,BRATS_110.nii.gz,91.03
270,BRATS_010.nii.gz,80.77
271,BRATS_173.nii.gz,94.53
272,BRATS_073.nii.gz,83.38
273,BRATS_002.nii.gz,87.52
274,BRATS_102.nii.gz,86.95
275,BRATS_061.nii.gz,69.32
276,BRATS_161.nii.gz,78.24
277,BRATS_147.nii.gz,77.26
278,BRATS_047.nii.gz,62.43
279,BRATS_124.nii.gz,83.63
