,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,5.820194426870079,4.585339336780918,1.45,5.684,-2.842,2.842,5.821,1.454,5.51,-2.29,3.22
1,10,9.412746103747804,8.752154636795476,2.768,10.85056,-5.4246,5.4246,9.407,2.749,10.61,-4.63,5.98
2,10,4.109343062810574,3.1485392791150963,0.996,3.90432,-1.9515,1.9515,4.105,0.994,3.73,-1.5,2.22
3,10,10.454527124718034,13.696819433669075,4.331,16.977520000000002,-8.4894,8.4894,10.513,4.347,16.79,-7.26,9.52
4,10,10.556786720516204,9.594490822213167,3.034,11.893279999999999,-5.9467,5.9467,10.592,3.067,11.73,-5.13,6.61
5,10,7.312539564745869,4.441482310448427,1.405,5.5076,-2.7529,2.7529,7.326,1.411,5.52,-2.52,3.0
6,10,9.250432707733712,7.016373330980211,2.219,8.69848,-4.3488,4.3488,9.256,2.22,8.65,-4.14,4.51
7,10,13.752922036355429,15.835312925923802,5.008,19.63136,-9.8148,9.8148,13.757,5.054,19.17,-7.81,11.37
8,10,5.847998784944007,3.478636257399359,1.1,4.312,-2.1561,2.1561,5.848,1.092,4.27,-2.02,2.25
9,10,7.6401566309826165,7.316283664132519,2.314,9.07088,-4.5347,4.5347,7.628,2.294,8.75,-3.67,5.08
10,10,5.365882031876301,3.272202625142132,1.035,4.0572,-2.0281,2.0281,5.373,1.038,4.05,-1.85,2.2
11,10,11.492771694432905,12.518634062054922,3.959,15.51928,-7.7591,7.7591,11.492,3.943,15.29,-6.72,8.58
12,10,15.780981678277087,20.614572934453015,6.519,25.55448,-12.777,12.777,15.751,6.568,24.84,-10.86,13.98
13,10,9.210712185533165,12.29482740973906,3.888,15.24096,-7.6204,7.6204,9.273,3.913,13.66,-5.09,8.57
14,10,10.655876163846745,12.391622298180438,3.919,15.36248,-7.6804,7.6804,10.664,3.95,14.94,-6.25,8.69
15,10,7.506534971907158,4.444314650824671,1.405,5.5076,-2.7546,2.7546,7.5,1.397,5.42,-2.51,2.91
16,10,9.294291711971596,11.39807622244983,3.604,14.12768,-7.0646,7.0646,9.286,3.604,13.79,-5.81,7.99
17,10,16.877801502848733,25.53702833985265,8.076,31.65792,-15.828,15.828,16.791,8.015,31.08,-13.46,17.62
18,10,9.088751669730971,12.660750099656912,4.004,15.695679999999998,-7.8472,7.8472,9.014,4.001,14.38,-5.53,8.85
19,10,8.438874325721839,10.314329843216804,3.262,12.78704,-6.3929,6.3929,8.457,3.299,11.89,-4.6,7.28
20,10,10.185228199829757,15.775332849654639,4.989,19.55688,-9.7777,9.7777,10.171,4.978,16.89,-6.04,10.85
21,10,10.491686353811229,13.943619237961544,4.409,17.283279999999998,-8.6423,8.6423,10.446,4.397,15.75,-6.04,9.71
22,10,9.950449802186137,12.565371014585043,3.974,15.57808,-7.7881,7.7881,9.947,4.007,15.57,-6.82,8.75
23,10,15.161725052240465,23.696457402748287,7.493,29.37256,-14.6872,14.6872,15.128,7.388,26.41,-10.16,16.25
24,10,4.7895916890089,2.204498004666113,0.697,2.7322399999999996,-1.3664,1.3664,4.787,0.697,2.74,-1.35,1.39
25,10,13.038978068381507,23.859695113983882,7.545,29.5764,-14.7884,14.7884,12.976,7.427,25.13,-8.86,16.26
26,10,13.170719372006946,12.495285159764899,3.951,15.48792,-7.7447,7.7447,13.151,3.942,15.28,-6.78,8.5
27,10,7.371511103777726,8.352294537842981,2.641,10.35272,-5.1768,5.1768,7.318,2.631,9.69,-3.88,5.81
28,10,6.975922911586923,4.820425243855215,1.524,5.97408,-2.9877,2.9877,6.989,1.535,5.9,-2.64,3.26
29,10,11.699440400686111,15.997596516689427,5.059,19.83128,-9.9154,9.9154,11.708,5.087,18.71,-7.41,11.31
30,10,5.766512384464505,4.883373313583293,1.544,6.05248,-3.0267,3.0267,5.795,1.538,5.96,-2.76,3.2
31,10,9.356541651308715,6.8669591761801785,2.172,8.514240000000001,-4.2562,4.2562,9.346,2.191,8.47,-3.96,4.51
32,10,9.988239050937676,17.22019397862067,5.446,21.348319999999998,-10.6732,10.6732,9.95,5.475,18.78,-6.8,11.98
33,10,5.670820929234223,5.132425351484335,1.623,6.36216,-3.1811,3.1811,5.695,1.632,6.19,-2.72,3.46
34,10,12.90605303286336,17.06850301323811,5.398,21.160159999999998,-10.5792,10.5792,12.89,5.371,20.01,-8.1,11.91
35,10,7.944467638634433,7.217023897611138,2.282,8.94544,-4.4732,4.4732,7.95,2.271,8.61,-3.69,4.92
36,10,9.03614260160226,5.324295904953887,1.684,6.60128,-3.3,3.3,9.014,1.666,6.56,-3.13,3.42
