,id,metric
168,BRATS_221.nii.gz,59.94
169,BRATS_413.nii.gz,81.6
170,BRATS_342.nii.gz,43.65
171,BRATS_242.nii.gz,68.94
172,BRATS_188.nii.gz,69.65
173,BRATS_088.nii.gz,87.06
174,BRATS_317.nii.gz,80.45
175,BRATS_446.nii.gz,94.82
176,BRATS_217.nii.gz,92.9
177,BRATS_374.nii.gz,84.28
178,BRATS_425.nii.gz,65.14
179,BRATS_274.nii.gz,78.07
180,BRATS_309.nii.gz,92.25
181,BRATS_458.nii.gz,76.61
182,BRATS_209.nii.gz,78.84
183,BRATS_278.nii.gz,81.45
184,BRATS_429.nii.gz,75.88
185,BRATS_378.nii.gz,85.25
186,BRATS_205.nii.gz,90.07
187,BRATS_454.nii.gz,77.24
188,BRATS_305.nii.gz,86.35
189,BRATS_266.nii.gz,84.8
190,BRATS_437.nii.gz,86.48
191,BRATS_366.nii.gz,59.81
192,BRATS_006.nii.gz,76.67
193,BRATS_106.nii.gz,74.43
194,BRATS_065.nii.gz,82.85
195,BRATS_483.nii.gz,78.51
196,BRATS_165.nii.gz,92.77
197,BRATS_018.nii.gz,60.85
198,BRATS_118.nii.gz,83.39
199,BRATS_169.nii.gz,63.57
200,BRATS_069.nii.gz,79.65
201,BRATS_114.nii.gz,73.76
202,BRATS_014.nii.gz,90.35
203,BRATS_177.nii.gz,47.28
204,BRATS_077.nii.gz,61.92
205,BRATS_122.nii.gz,88.19
206,BRATS_395.nii.gz,78.07
207,BRATS_022.nii.gz,70.74
208,BRATS_295.nii.gz,87.06
209,BRATS_141.nii.gz,90.17
210,BRATS_041.nii.gz,83.78
211,BRATS_287.nii.gz,62.17
212,BRATS_030.nii.gz,56.29
213,BRATS_387.nii.gz,74.8
214,BRATS_130.nii.gz,83.65
215,BRATS_053.nii.gz,80.84
216,BRATS_153.nii.gz,89.55
217,BRATS_299.nii.gz,34.76
218,BRATS_399.nii.gz,79.69
219,BRATS_201.nii.gz,81.75
220,BRATS_301.nii.gz,86.6
221,BRATS_450.nii.gz,78.98
222,BRATS_262.nii.gz,81.55
223,BRATS_362.nii.gz,81.4
224,BRATS_433.nii.gz,76.24
225,BRATS_442.nii.gz,85.21
226,BRATS_313.nii.gz,74.42
227,BRATS_213.nii.gz,84.19
228,BRATS_421.nii.gz,92.23
229,BRATS_370.nii.gz,84.93
230,BRATS_270.nii.gz,64.2
231,BRATS_192.nii.gz,78.57
232,BRATS_325.nii.gz,82.0
233,BRATS_474.nii.gz,87.54
234,BRATS_092.nii.gz,58.67
235,BRATS_225.nii.gz,71.85
236,BRATS_358.nii.gz,53.52
237,BRATS_409.nii.gz,90.63
238,BRATS_258.nii.gz,86.34
239,BRATS_346.nii.gz,81.5
240,BRATS_417.nii.gz,85.69
241,BRATS_246.nii.gz,64.31
242,BRATS_237.nii.gz,86.98
243,BRATS_080.nii.gz,63.64
244,BRATS_466.nii.gz,79.36
245,BRATS_337.nii.gz,71.59
246,BRATS_180.nii.gz,80.8
247,BRATS_229.nii.gz,76.58
248,BRATS_478.nii.gz,79.22
249,BRATS_329.nii.gz,72.07
250,BRATS_254.nii.gz,64.98
251,BRATS_405.nii.gz,86.78
252,BRATS_354.nii.gz,86.34
253,BRATS_283.nii.gz,76.66
254,BRATS_034.nii.gz,73.86
255,BRATS_383.nii.gz,62.05
256,BRATS_134.nii.gz,77.13
257,BRATS_049.nii.gz,58.33
258,BRATS_149.nii.gz,84.87
259,BRATS_057.nii.gz,89.76
260,BRATS_157.nii.gz,81.17
261,BRATS_126.nii.gz,75.36
262,BRATS_391.nii.gz,87.09
263,BRATS_026.nii.gz,61.4
264,BRATS_291.nii.gz,96.21
265,BRATS_138.nii.gz,69.55
266,BRATS_038.nii.gz,78.04
267,BRATS_145.nii.gz,79.18
268,BRATS_045.nii.gz,83.13
269,BRATS_110.nii.gz,90.99
270,BRATS_010.nii.gz,81.45
271,BRATS_173.nii.gz,93.89
272,BRATS_073.nii.gz,83.22
273,BRATS_002.nii.gz,84.52
274,BRATS_102.nii.gz,83.71
275,BRATS_061.nii.gz,68.39
276,BRATS_161.nii.gz,72.56
277,BRATS_147.nii.gz,71.24
278,BRATS_047.nii.gz,61.43
279,BRATS_124.nii.gz,84.11
280,BRATS_393.nii.gz,89.07
281,BRATS_024.nii.gz,80.39
282,BRATS_293.nii.gz,84.52
283,BRATS_159.nii.gz,90.27
284,BRATS_059.nii.gz,83.7
285,BRATS_028.nii.gz,33.94
286,BRATS_128.nii.gz,65.62
287,BRATS_055.nii.gz,92.09
288,BRATS_155.nii.gz,86.85
289,BRATS_281.nii.gz,87.45
290,BRATS_036.nii.gz,68.27
291,BRATS_381.nii.gz,28.2
292,BRATS_136.nii.gz,79.3
293,BRATS_063.nii.gz,86.42
294,BRATS_163.nii.gz,67.37
295,BRATS_100.nii.gz,82.51
296,BRATS_171.nii.gz,70.47
297,BRATS_071.nii.gz,84.98
298,BRATS_112.nii.gz,82.09
299,BRATS_012.nii.gz,62.19
300,BRATS_423.nii.gz,75.68
301,BRATS_372.nii.gz,81.78
302,BRATS_272.nii.gz,83.31
303,BRATS_440.nii.gz,88.11
304,BRATS_311.nii.gz,88.71
305,BRATS_211.nii.gz,77.68
306,BRATS_260.nii.gz,91.97
307,BRATS_360.nii.gz,90.21
308,BRATS_431.nii.gz,84.25
309,BRATS_203.nii.gz,87.81
310,BRATS_303.nii.gz,78.35
311,BRATS_452.nii.gz,44.51
312,BRATS_256.nii.gz,71.95
313,BRATS_407.nii.gz,93.74
314,BRATS_356.nii.gz,88.57
315,BRATS_235.nii.gz,79.45
316,BRATS_082.nii.gz,41.97
317,BRATS_464.nii.gz,74.84
318,BRATS_335.nii.gz,90.99
319,BRATS_182.nii.gz,85.26
320,BRATS_248.nii.gz,47.17
321,BRATS_419.nii.gz,89.63
322,BRATS_348.nii.gz,79.55
323,BRATS_339.nii.gz,84.47
324,BRATS_468.nii.gz,84.53
325,BRATS_239.nii.gz,87.31
326,BRATS_344.nii.gz,69.72
327,BRATS_415.nii.gz,84.01
328,BRATS_244.nii.gz,71.11
329,BRATS_190.nii.gz,85.65
330,BRATS_327.nii.gz,93.61
331,BRATS_476.nii.gz,89.32
332,BRATS_090.nii.gz,65.82
333,BRATS_227.nii.gz,76.03
