,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,90.292,2.901798752498182,0.918,3.59856,-1.7986,1.7986,90.294,0.925,3.58,-1.91,1.67
1,10,89.22799999999998,2.382174636755247,0.753,2.95176,-1.4765,1.4765,89.225,0.753,2.95,-1.48,1.46
2,10,89.45100000000001,2.9766136800061895,0.941,3.6887199999999996,-1.8449,1.8449,89.451,0.945,3.67,-1.87,1.8
3,10,87.94000000000001,3.241496567945123,1.025,4.018,-2.0091,2.0091,87.926,1.032,4.03,-2.0,2.03
4,10,89.678,2.479124038849205,0.784,3.07328,-1.5366,1.5366,89.679,0.775,3.03,-1.48,1.54
5,10,87.86099999999999,2.8461779635152835,0.9,3.528,-1.7641,1.7641,87.868,0.9,3.55,-1.78,1.76
6,10,89.574,2.646606128610753,0.837,3.28104,-1.6404,1.6404,89.57,0.841,3.29,-1.62,1.67
7,10,89.23400000000001,2.0679032859396496,0.654,2.56368,-1.2817,1.2817,89.236,0.656,2.55,-1.31,1.25
8,10,89.615,2.7421022956848273,0.867,3.39864,-1.6996,1.6996,89.617,0.866,3.38,-1.78,1.61
9,10,91.102,1.9257923044814567,0.609,2.38728,-1.1936,1.1936,91.104,0.609,2.37,-1.27,1.09
10,10,90.23100000000001,2.5370867151124354,0.802,3.14384,-1.5725,1.5725,90.237,0.798,3.11,-1.59,1.51
11,10,90.092,3.008361015569774,0.951,3.7279199999999997,-1.8646,1.8646,90.104,0.945,3.67,-1.86,1.8
12,10,88.134,3.753217819418426,1.187,4.65304,-2.3263,2.3263,88.128,1.193,4.65,-2.25,2.4
13,10,89.86500000000001,2.905702152664653,0.919,3.60248,-1.801,1.801,89.856,0.925,3.59,-1.9,1.7
14,10,88.571,2.6115491571096277,0.826,3.23792,-1.6187,1.6187,88.555,0.83,3.23,-1.51,1.72
15,10,89.638,2.649867166482125,0.838,3.28496,-1.6424,1.6424,89.644,0.841,3.31,-1.72,1.58
16,10,89.65599999999999,2.376586627918284,0.752,2.94784,-1.473,1.473,89.656,0.753,2.92,-1.48,1.44
17,10,90.43100000000001,1.4661954167163371,0.464,1.81888,-0.9088,0.9088,90.431,0.464,1.81,-0.88,0.93
18,10,88.841,3.4497404250175117,1.091,4.27672,-2.1382,2.1382,88.838,1.087,4.17,-2.36,1.8
19,10,90.865,2.6387885477999187,0.834,3.2692799999999997,-1.6355,1.6355,90.879,0.83,3.25,-1.67,1.57
20,10,88.784,3.6264368186968325,1.147,4.49624,-2.2477,2.2477,88.768,1.136,4.43,-2.49,1.95
21,10,88.982,2.01868174807224,0.638,2.50096,-1.2512,1.2512,88.981,0.642,2.49,-1.29,1.2
22,10,90.32,1.9937201408422398,0.63,2.4696,-1.2357,1.2357,90.315,0.629,2.44,-1.16,1.28
23,10,88.72200000000001,3.6983964092563157,1.17,4.586399999999999,-2.2923,2.2923,88.722,1.164,4.5,-2.46,2.04
24,10,89.392,2.431957236466137,0.769,3.01448,-1.5073,1.5073,89.39,0.765,2.98,-1.49,1.49
25,10,89.845,1.5786402376729152,0.499,1.95608,-0.9785,0.9785,89.843,0.504,1.98,-0.99,0.99
26,10,88.589,4.00516778674752,1.267,4.96664,-2.4824,2.4824,88.585,1.261,4.91,-2.65,2.26
27,10,89.232,2.620896029986692,0.829,3.2496799999999997,-1.6244,1.6244,89.224,0.832,3.24,-1.54,1.69
28,10,90.563,1.9201825434057043,0.607,2.3794399999999998,-1.1901,1.1901,90.565,0.615,2.39,-1.17,1.23
29,10,89.937,2.9637073067359387,0.937,3.6730400000000003,-1.8369,1.8369,89.923,0.941,3.66,-1.87,1.79
30,10,89.52,2.405909391477577,0.761,2.98312,-1.4912,1.4912,89.523,0.758,2.94,-1.56,1.39
31,10,89.50699999999999,3.0771449429625495,0.973,3.8141599999999998,-1.9072,1.9072,89.517,0.976,3.81,-1.96,1.84
32,10,89.63300000000001,3.056089167547311,0.966,3.78672,-1.8942,1.8942,89.641,0.967,3.8,-1.92,1.87
33,10,89.81499999999998,2.026061450203323,0.641,2.51272,-1.2558,1.2558,89.816,0.644,2.53,-1.3,1.23
34,10,88.48,3.627285486420941,1.147,4.49624,-2.2482,2.2482,88.474,1.146,4.46,-2.47,2.0
35,10,89.94800000000001,2.4360451555749134,0.77,3.0184,-1.5099,1.5099,89.944,0.765,2.99,-1.49,1.5
36,10,90.502,1.8964640782255793,0.6,2.352,-1.1754,1.1754,90.498,0.601,2.35,-1.14,1.21
37,10,89.26299999999999,3.5345100084735948,1.118,4.382560000000001,-2.1907,2.1907,89.277,1.114,4.32,-2.46,1.86
38,10,88.72600000000001,1.6351770546335345,0.517,2.02664,-1.0135,1.0135,88.722,0.521,2.02,-1.01,1.0
39,10,90.56199999999998,2.2626259080988187,0.716,2.80672,-1.4024,1.4024,90.573,0.716,2.77,-1.48,1.29
40,10,89.11500000000001,2.341363918744798,0.74,2.9008,-1.4512,1.4512,89.125,0.736,2.86,-1.47,1.38
41,10,89.593,2.7047219820158976,0.855,3.3516,-1.6764,1.6764,89.601,0.859,3.36,-1.74,1.62
42,10,89.674,2.3666482628392407,0.748,2.93216,-1.4669,1.4669,89.669,0.746,2.94,-1.42,1.52
43,10,89.526,3.785459549381028,1.197,4.69224,-2.3463,2.3463,89.536,1.206,4.67,-2.63,2.04
44,10,89.532,3.7220016120361907,1.177,4.61384,-2.3069,2.3069,89.528,1.182,4.59,-2.34,2.25
45,10,89.583,2.0399267143699076,0.645,2.5284,-1.2644,1.2644,89.588,0.643,2.5,-1.3,1.2
46,10,89.20599999999999,1.974326214180423,0.624,2.44608,-1.2237,1.2237,89.205,0.626,2.43,-1.32,1.11
47,10,90.799,1.3521571654212388,0.428,1.67776,-0.8381,0.8381,90.798,0.428,1.67,-0.91,0.76
48,10,89.764,2.705801914405413,0.856,3.35552,-1.6771,1.6771,89.774,0.854,3.34,-1.74,1.59
49,10,90.165,2.2023544219766267,0.696,2.7283199999999996,-1.365,1.365,90.157,0.697,2.74,-1.32,1.42
50,10,90.13699999999999,2.1572670210245177,0.682,2.6734400000000003,-1.3371,1.3371,90.13,0.683,2.65,-1.35,1.3
51,10,89.99699999999999,3.4976507830256582,1.106,4.335520000000001,-2.1679,2.1679,89.992,1.11,4.3,-2.16,2.14
52,10,89.377,1.8755215274690933,0.593,2.32456,-1.1625,1.1625,89.377,0.591,2.31,-1.16,1.15
53,10,89.991,2.256805042532473,0.714,2.79888,-1.3988,1.3988,89.986,0.713,2.76,-1.4,1.37
54,10,90.553,2.612439664375046,0.826,3.23792,-1.6192,1.6192,90.557,0.825,3.22,-1.66,1.56
55,10,89.2,2.5488075643327806,0.806,3.15952,-1.5798,1.5798,89.209,0.801,3.11,-1.59,1.52
56,10,90.31500000000001,1.8094709171467778,0.572,2.24224,-1.1215,1.1215,90.317,0.573,2.25,-1.12,1.12
57,10,90.374,2.5982540291511143,0.822,3.2222399999999998,-1.6104,1.6104,90.372,0.823,3.19,-1.7,1.49
58,10,90.86500000000001,2.3875981655211573,0.755,2.9596,-1.4798,1.4798,90.862,0.757,2.94,-1.58,1.36
59,10,89.674,2.4176608529733854,0.765,2.9988,-1.4985,1.4985,89.68,0.766,2.99,-1.57,1.42
60,10,89.24100000000001,2.7637635571806793,0.874,3.42608,-1.713,1.713,89.236,0.875,3.4,-1.7,1.7
61,10,91.39000000000001,2.644961247353164,0.836,3.2771199999999996,-1.6394,1.6394,91.382,0.838,3.26,-1.73,1.53
62,10,90.579,1.9638301861413576,0.621,2.43432,-1.2172,1.2172,90.578,0.619,2.4,-1.28,1.12
