,id,metric
0,hippocampus_216.nii.gz,92.77
1,hippocampus_243.nii.gz,89.56
2,hippocampus_097.nii.gz,92.28
3,hippocampus_251.nii.gz,91.02
4,hippocampus_298.nii.gz,87.4
5,hippocampus_386.nii.gz,90.84
6,hippocampus_023.nii.gz,89.62
7,hippocampus_123.nii.gz,90.14
8,hippocampus_176.nii.gz,91.92
9,hippocampus_068.nii.gz,91.72
10,hippocampus_019.nii.gz,89.41
11,hippocampus_064.nii.gz,90.63
12,hippocampus_107.nii.gz,89.45
13,hippocampus_288.nii.gz,91.37
14,hippocampus_133.nii.gz,92.55
15,hippocampus_033.nii.gz,89.8
16,hippocampus_050.nii.gz,91.77
17,hippocampus_105.nii.gz,87.14
18,hippocampus_178.nii.gz,93.05
19,hippocampus_166.nii.gz,88.64
20,hippocampus_074.nii.gz,85.05
21,hippocampus_265.nii.gz,91.16
22,hippocampus_087.nii.gz,94.62
23,hippocampus_230.nii.gz,91.23
24,hippocampus_199.nii.gz,92.69
25,hippocampus_353.nii.gz,87.35
26,hippocampus_222.nii.gz,82.99
27,hippocampus_195.nii.gz,92.5
28,hippocampus_070.nii.gz,89.25
29,hippocampus_101.nii.gz,92.54
30,hippocampus_001.nii.gz,94.2
31,hippocampus_162.nii.gz,94.27
32,hippocampus_125.nii.gz,90.7
33,hippocampus_046.nii.gz,88.5
34,hippocampus_226.nii.gz,85.19
35,hippocampus_326.nii.gz,89.87
36,hippocampus_238.nii.gz,91.05
37,hippocampus_338.nii.gz,90.57
38,hippocampus_234.nii.gz,87.45
39,hippocampus_302.nii.gz,91.77
40,hippocampus_361.nii.gz,84.89
41,hippocampus_261.nii.gz,87.5
42,hippocampus_355.nii.gz,89.23
43,hippocampus_181.nii.gz,89.63
44,hippocampus_336.nii.gz,82.75
45,hippocampus_193.nii.gz,93.15
46,hippocampus_212.nii.gz,89.54
47,hippocampus_060.nii.gz,92.52
48,hippocampus_011.nii.gz,92.27
49,hippocampus_044.nii.gz,89.97
50,hippocampus_156.nii.gz,89.34
51,hippocampus_048.nii.gz,93.04
52,hippocampus_282.nii.gz,79.88
53,hippocampus_169.nii.gz,92.61
54,hippocampus_014.nii.gz,86.2
55,hippocampus_077.nii.gz,91.65
56,hippocampus_106.nii.gz,89.56
57,hippocampus_053.nii.gz,90.85
58,hippocampus_299.nii.gz,86.81
59,hippocampus_295.nii.gz,89.47
60,hippocampus_141.nii.gz,92.16
61,hippocampus_242.nii.gz,94.81
62,hippocampus_188.nii.gz,86.4
63,hippocampus_084.nii.gz,89.88
64,hippocampus_233.nii.gz,85.55
65,hippocampus_184.nii.gz,90.23
66,hippocampus_333.nii.gz,86.18
67,hippocampus_250.nii.gz,88.12
68,hippocampus_378.nii.gz,84.58
69,hippocampus_205.nii.gz,86.88
70,hippocampus_366.nii.gz,91.61
71,hippocampus_374.nii.gz,89.87
72,hippocampus_274.nii.gz,87.54
73,hippocampus_309.nii.gz,87.83
74,hippocampus_098.nii.gz,89.86
75,hippocampus_094.nii.gz,91.14
76,hippocampus_276.nii.gz,90.41
77,hippocampus_268.nii.gz,85.53
78,hippocampus_067.nii.gz,86.47
79,hippocampus_104.nii.gz,85.28
80,hippocampus_175.nii.gz,92.15
81,hippocampus_108.nii.gz,92.03
82,hippocampus_289.nii.gz,89.77
83,hippocampus_297.nii.gz,88.8
84,hippocampus_020.nii.gz,88.28
85,hippocampus_132.nii.gz,90.41
86,hippocampus_385.nii.gz,86.41
87,hippocampus_260.nii.gz,91.39
88,hippocampus_203.nii.gz,91.08
89,hippocampus_303.nii.gz,91.09
90,hippocampus_372.nii.gz,93.27
91,hippocampus_311.nii.gz,88.46
92,hippocampus_244.nii.gz,85.52
93,hippocampus_227.nii.gz,89.45
94,hippocampus_090.nii.gz,93.15
95,hippocampus_356.nii.gz,90.85
96,hippocampus_155.nii.gz,90.39
97,hippocampus_036.nii.gz,92.13
98,hippocampus_136.nii.gz,92.26
99,hippocampus_381.nii.gz,93.15
100,hippocampus_393.nii.gz,89.16
101,hippocampus_024.nii.gz,87.66
102,hippocampus_163.nii.gz,88.05
103,hippocampus_026.nii.gz,92.49
104,hippocampus_138.nii.gz,90.56
105,hippocampus_038.nii.gz,85.59
106,hippocampus_383.nii.gz,90.95
107,hippocampus_370.nii.gz,89.4
108,hippocampus_229.nii.gz,93.53
109,hippocampus_325.nii.gz,85.86
