,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,81.321,6.2232972771674655,1.968,7.71456,-3.8572,3.8572,81.334,1.968,7.68,-3.84,3.84
1,10,75.877,16.39199746827701,5.184,20.32128,-10.1599,10.1599,75.869,5.189,19.96,-11.19,8.77
2,10,81.60499999999999,8.945038009980728,2.829,11.089680000000001,-5.5442,5.5442,81.656,2.804,10.98,-5.47,5.51
3,10,81.324,10.704374059233917,3.385,13.2692,-6.6346,6.6346,81.311,3.397,13.07,-7.42,5.65
4,10,78.515,8.615261168415035,2.724,10.678080000000001,-5.3398,5.3398,78.551,2.74,10.64,-5.4,5.24
5,10,80.566,6.86105851891674,2.17,8.5064,-4.2525,4.2525,80.559,2.168,8.39,-4.27,4.12
6,10,77.03099999999999,14.766302482341338,4.67,18.3064,-9.1522,9.1522,76.997,4.716,18.31,-9.82,8.48
7,10,76.462,13.81611001693313,4.369,17.126479999999997,-8.5633,8.5633,76.456,4.422,17.02,-9.6,7.42
8,10,78.841,9.900000454545442,3.131,12.27352,-6.1361,6.1361,78.826,3.115,12.1,-6.26,5.83
9,10,81.34299999999999,7.785334996003704,2.462,9.65104,-4.8254,4.8254,81.373,2.452,9.48,-4.95,4.53
10,10,78.58200000000001,17.651532398066745,5.582,21.881439999999998,-10.9405,10.9405,78.511,5.559,20.54,-12.4,8.14
11,10,76.141,14.673660381786133,4.64,18.188799999999997,-9.0948,9.0948,76.133,4.65,17.93,-9.72,8.22
12,10,78.881,8.277814264647402,2.618,10.262559999999999,-5.1306,5.1306,78.878,2.632,10.22,-5.25,4.97
13,10,78.232,7.820545761006711,2.473,9.69416,-4.8472,4.8472,78.241,2.479,9.62,-5.17,4.45
14,10,78.975,4.921626255619173,1.556,6.09952,-3.0505,3.0505,78.972,1.568,6.11,-3.14,2.97
15,10,79.22900000000001,8.250856258595224,2.609,10.22728,-5.1139,5.1139,79.236,2.601,10.15,-5.17,4.98
16,10,77.704,13.968637872033192,4.417,17.31464,-8.6579,8.6579,77.712,4.407,17.0,-9.3,7.69
17,10,80.21799999999999,11.75346655246868,3.717,14.570640000000001,-7.2849,7.2849,80.268,3.717,14.36,-7.33,7.03
18,10,83.19699999999999,9.914013364929463,3.135,12.2892,-6.1448,6.1448,83.157,3.138,12.18,-6.7,5.48
19,10,81.666,7.614911949589439,2.408,9.439359999999999,-4.7198,4.7198,81.659,2.412,9.44,-4.83,4.6
20,10,77.928,11.016356748036076,3.484,13.65728,-6.828,6.828,77.937,3.471,13.64,-7.65,5.99
21,10,76.23799999999999,11.425768945677135,3.613,14.16296,-7.0818,7.0818,76.304,3.625,14.01,-7.19,6.83
22,10,79.995,14.757908557786905,4.667,18.294639999999998,-9.147,9.147,80.028,4.657,18.05,-9.88,8.17
23,10,72.08099999999999,16.072872456409275,5.083,19.92536,-9.9621,9.9621,72.033,5.061,19.59,-10.76,8.83
24,10,80.833,10.189242415410478,3.222,12.630239999999999,-6.3154,6.3154,80.86,3.235,12.56,-6.58,5.98
25,10,79.78699999999999,9.033586275671473,2.857,11.199440000000001,-5.5991,5.5991,79.823,2.838,11.03,-5.65,5.38
26,10,79.088,10.865633713686467,3.436,13.46912,-6.7346,6.7346,79.198,3.435,13.33,-6.99,6.35
27,10,76.321,12.817915158090258,4.053,15.88776,-7.9446,7.9446,76.372,4.025,15.8,-8.76,7.05
28,10,77.66499999999999,15.450825382483618,4.886,19.15312,-9.5765,9.5765,77.625,4.889,18.06,-10.82,7.24
29,10,78.38999999999999,8.578516188712358,2.713,10.63496,-5.317,5.317,78.393,2.745,10.74,-5.96,4.77
30,10,78.007,12.851890172266488,4.064,15.93088,-7.9657,7.9657,77.933,4.043,15.68,-7.91,7.78
31,10,74.09599999999999,20.1272482967742,6.365,24.9508,-12.475,12.475,74.121,6.452,24.99,-13.85,11.14
32,10,81.16900000000001,8.74618711210777,2.766,10.84272,-5.4209,5.4209,81.151,2.766,10.8,-5.7,5.1
33,10,82.159,6.182605356967241,1.955,7.6636,-3.832,3.832,82.165,1.967,7.68,-3.96,3.72
34,10,78.67,8.456660097225145,2.674,10.48208,-5.2415,5.2415,78.701,2.635,10.26,-5.57,4.68
35,10,78.39399999999999,16.169575257253975,5.113,20.04296,-10.022,10.022,78.374,5.09,18.9,-11.23,7.66
36,10,75.34200000000001,16.622293945180974,5.256,20.60352,-10.3026,10.3026,75.429,5.183,19.38,-11.64,7.74
37,10,74.03999999999999,12.682323131035576,4.011,15.72312,-7.8606,7.8606,74.033,4.016,15.64,-8.75,6.89
38,10,82.46600000000001,7.3344927568305645,2.319,9.09048,-4.546,4.546,82.476,2.326,9.14,-4.89,4.24
39,10,78.09899999999999,17.51344252281658,5.538,21.70896,-10.8549,10.8549,78.1,5.539,20.72,-12.4,8.32
40,10,71.67,16.316799931359093,5.16,20.2272,-10.1133,10.1133,71.672,5.192,20.22,-10.85,9.38
41,10,76.40900000000002,13.29892961858209,4.205,16.4836,-8.2428,8.2428,76.43,4.222,16.1,-9.08,7.02
42,10,81.471,5.3374028328392065,1.688,6.61696,-3.3082,3.3082,81.482,1.68,6.56,-3.3,3.25
43,10,81.433,10.92813803902568,3.456,13.54752,-6.7733,6.7733,81.435,3.47,13.52,-7.31,6.2
